"","DIS","CMCSA","TWX","SNE","FOXA","VIAB"
"2013-03-21",53.868467,38.038242,50.609496,17.309999,25.690166,56.736195
"2013-03-22",54.318086,38.810305,51.222839,17.68,26.060119,57.384711
"2013-03-25",53.772801,39.281075,50.99734,17.77,26.008502,56.801046
"2013-03-26",54.174592,39.04569,51.33107,17.49,26.094537,56.828839
"2013-03-27",54.02153,39.30932,51.078516,17.639999,26.008502,56.847368
"2013-03-28",54.337219,39.525874,51.971472,17.4,26.2494,56.958542
"2013-04-01",54.231988,39.142772,51.971472,16.6,26.103137,57.180893
"2013-04-02",54.968602,40.01303,51.935391,17,26.69678,57.171627
"2013-04-03",54.767709,39.558982,52.404415,16.43,26.447281,57.56074
"2013-04-04",55.092967,39.842762,52.557749,17,26.163365,58.329697
"2013-04-05",55.198198,39.313041,52.205982,16.690001,26.361246,58.413079
"2013-04-08",56.269635,39.379256,52.629904,17.02,27.023717,60.673631
"2013-04-09",56.57576,39.048176,53.035792,16.790001,26.817235,59.849085
"2013-04-10",57.503703,39.369794,53.721293,16.93,26.851643,60.868186
"2013-04-11",57.924624,39.549524,53.81148,16.9,27.169979,61.285096
"2013-04-12",57.924624,39.72925,53.631091,16.67,27.135562,61.609354
"2013-04-15",56.327035,38.925208,52.738146,16.48,26.154755,59.311739
"2013-04-16",58.115953,39.171149,53.874627,16.559999,26.954889,61.322155
"2013-04-17",58.048988,38.42386,53.685212,16.41,26.688181,60.738483
"2013-04-18",57.388907,37.827924,52.738146,16.18,26.189172,60.265995
"2013-04-19",58.890833,38.367106,53.89266,16.65,26.851643,61.312888
"2013-04-22",59.321319,38.281972,54.289526,16.52,27.221597,61.62788
"2013-04-23",59.876173,38.688724,54.478948,16.67,27.221597,60.729223
"2013-04-24",59.254354,38.471156,53.748348,16.49,26.774218,60.219669
"2013-04-25",59.311754,38.546832,53.567948,17.200001,26.843044,59.747175
"2013-04-26",59.18739,39.133311,53.820502,16.48,26.800026,58.941158
"2013-04-29",60.268395,39.246825,54.235412,16.559999,26.662372,58.968955
"2013-04-30",60.115333,39.067096,53.919726,16.43,26.645163,59.28395
"2013-05-01",60.469289,39.59682,53.649128,16.25,26.782817,61.053482
"2013-05-02",61.110241,39.833304,53.89266,16.790001,27.428079,62.554336
"2013-05-03",61.990352,40.240056,54.506003,17.16,27.505515,62.322722
"2013-05-06",62.239074,40.467078,54.695414,17.129999,27.539933,62.489485
"2013-05-07",63.205284,40.722481,55.489147,17.700001,27.694796,62.748899
"2013-05-08",63.128751,40.940045,55.13738,17.940001,27.410879,63.536385
"2013-05-09",63.779267,40.637347,55.110314,18.08,28.641185,63.573444
"2013-05-10",64.286286,40.750861,54.966002,17.92,28.623974,63.925495
"2013-05-13",64.401085,40.854911,54.938947,18.889999,28.658394,63.527119
"2013-05-14",64.544583,40.987345,55.263659,20.76,28.804647,63.647555
"2013-05-15",64.735908,41.365717,55.13738,20.450001,28.718612,64.499901
"2013-05-16",63.587942,40.552212,54.767569,20.1,28.271231,63.712407
"2013-05-17",63.693173,40.334648,54.758547,20.34,28.580957,64.592545
"2013-05-20",63.253119,39.275202,54.181291,20.969999,28.434693,63.934762
"2013-05-21",62.975692,39.946815,54.54208,22.91,28.572357,64.462842
"2013-05-22",62.726963,39.521144,54.082071,22.15,28.580957,64.444308
"2013-05-23",62.401709,39.558982,54.262471,21.629999,28.27983,64.008873
"2013-05-24",62.65043,39.681954,53.468735,20.959999,28.469111,63.888436
"2013-05-28",63.798404,39.558982,54.379724,20.67,28.598166,64.25902
"2013-05-29",63.387048,38.584671,53.651986,20.1,28.219612,63.397415
"2013-05-30",61.846855,38.73602,53.996371,20.84,27.892677,62.952713
"2013-05-31",60.344928,37.998189,52.899772,20.15,27.62596,61.044215
"2013-06-03",61.033708,38.27251,53.108209,19.540001,27.944295,62.007731
"2013-06-04",61.55986,38.707639,52.872577,19.82,27.935696,62.109641
"2013-06-05",60.383191,38.017108,51.567531,19,27.126961,61.340681
"2013-06-06",60.402325,38.064407,52.093178,18.959999,27.376461,61.442592
"2013-06-07",62.03818,38.953584,53.262287,19.559999,27.677587,62.82301
"2013-06-10",61.062409,38.471156,52.29256,20.110001,27.488306,62.57287
"2013-06-11",61.033708,37.988731,51.558465,20.299999,27.247406,62.091108
"2013-06-12",60.258831,37.383333,50.896885,20.280001,26.619355,60.732404
"2013-06-13",61.512032,37.600898,52.482877,21.030001,27.256016,62.305151
"2013-06-14",61.033708,37.59144,52.084113,19.879999,26.920471,62.137639
"2013-06-17",61.693789,37.913058,52.510062,20.719999,26.91187,62.612258
"2013-06-18",62.459105,38.206295,53.37104,21.4,27.15277,62.910057
"2013-06-19",61.54073,38.036027,52.437563,20.49,27.729204,62.230706
"2013-06-20",59.292621,36.806313,51.041887,20.040001,26.91187,60.723096
"2013-06-21",60.010102,37.619817,51.485966,20.379999,27.032316,61.16049
"2013-06-24",59.732675,37.629275,51.005634,19.940001,26.791416,60.676562
"2013-06-25",59.857039,37.998189,51.359083,20.4,27.066733,61.067429
